#"INDEX","LOCATION","STATE","SEVERITY","NAME","DATE/TIME","USER","NOTES"
"444","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 06-May-2015  12:38:56.1 (GMT-06:00)","SYS",""
"445","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 06-May-2015  12:39:06.1 (GMT-06:00)","SYS",""
"446","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Mon 18-May-2015  18:35:42.1 (GMT-06:00)","SYS",""
"447","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Mon 18-May-2015  18:35:51.1 (GMT-06:00)","SYS",""
"448","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Mon 18-May-2015  21:55:59.1 (GMT-06:00)","SYS",""
"449","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Mon 18-May-2015  21:56:09.0 (GMT-06:00)","SYS",""
"450","Slot 3","Raising","Warning","Port 3 Ethernet down","Tue 19-May-2015  19:58:17.4 (GMT-06:00)","SYS",""
"451","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Tue 19-May-2015  19:58:20.4 (GMT-06:00)","SYS",""
"452","Slot 3","Raising","Warning","Port 3 Ethernet down","Tue 19-May-2015  19:58:22.1 (GMT-06:00)","SYS",""
"453","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Tue 19-May-2015  19:58:34.8 (GMT-06:00)","SYS",""
"454","Slot 3","Raising","Warning","Port 3 Ethernet down","Tue 19-May-2015  19:59:44.6 (GMT-06:00)","SYS",""
"455","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Tue 19-May-2015  19:59:54.5 (GMT-06:00)","SYS",""
"456","Slot 3","Raising","Warning","Port 3 Ethernet down","Tue 19-May-2015  20:00:24.8 (GMT-06:00)","SYS",""
"457","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Tue 19-May-2015  20:00:26.5 (GMT-06:00)","SYS",""
"458","Slot 3","Raising","Warning","Port 3 Ethernet down","Tue 19-May-2015  20:00:26.8 (GMT-06:00)","SYS",""
"459","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Tue 19-May-2015  20:02:59.2 (GMT-06:00)","SYS",""
"460","Slot 3","Raising","Warning","Port 3 Ethernet down","Tue 19-May-2015  20:09:50.9 (GMT-06:00)","SYS",""
"461","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Tue 19-May-2015  20:09:54.0 (GMT-06:00)","SYS",""
"462","Slot 3","Raising","Warning","Port 3 Ethernet down","Tue 19-May-2015  20:17:19.2 (GMT-06:00)","SYS",""
