#"INDEX","LOCATION","STATE","SEVERITY","NAME","DATE/TIME","USER","NOTES"
"601","Slot 1","Clearing","Cleared","Demodulator not locked","Thu 16-Jul-2015  23:54:53.5 (GMT-06:00)","SYS",""
"602","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Thu 16-Jul-2015  23:54:54.9 (GMT-06:00)","SYS",""
"603","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Thu 16-Jul-2015  23:55:03.8 (GMT-06:00)","SYS",""
"604","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Tue 21-Jul-2015  20:11:22.8 (GMT-06:00)","SYS",""
"605","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Tue 21-Jul-2015  20:11:31.8 (GMT-06:00)","SYS",""
"606","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Tue 21-Jul-2015  20:13:23.8 (GMT-06:00)","SYS",""
"607","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Tue 21-Jul-2015  20:13:32.8 (GMT-06:00)","SYS",""
"608","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Sun 26-Jul-2015  04:16:56.8 (GMT-06:00)","SYS",""
"609","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Sun 26-Jul-2015  04:17:05.8 (GMT-06:00)","SYS",""
"610","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 29-Jul-2015  13:48:20.8 (GMT-06:00)","SYS",""
"611","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 29-Jul-2015  13:48:29.8 (GMT-06:00)","SYS",""
"612","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Mon 03-Aug-2015  03:17:28.7 (GMT-06:00)","SYS",""
"613","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Mon 03-Aug-2015  03:17:36.7 (GMT-06:00)","SYS",""
"614","Slot 1","Raising","Major","Demodulator not locked","Mon 03-Aug-2015  23:22:24.2 (GMT-06:00)","SYS",""
"615","Slot 1","Clearing","Cleared","Demodulator not locked","Mon 03-Aug-2015  23:22:24.4 (GMT-06:00)","SYS",""
"616","Slot 1","Raising","Critical","Traffic path down","Mon 03-Aug-2015  23:22:24.5 (GMT-06:00)","SYS",""
"617","NCC","None","Informational","Event Action created","Mon 03-Aug-2015  23:22:24.6 (GMT-06:00)","SYS","Relay Output 1 Action request sent to 127.0.0.1, Slot1"
"618","NCC","None","Informational","Event Action accepted","Mon 03-Aug-2015  23:22:24.6 (GMT-06:00)","SYS","Relay Output 1 Action request received from 127.0.0.1."
"619","Slot 1","Clearing","Cleared","Traffic path down","Mon 03-Aug-2015  23:22:25.5 (GMT-06:00)","SYS",""
"620","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Mon 03-Aug-2015  23:22:25.8 (GMT-06:00)","SYS",""
"621","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Mon 03-Aug-2015  23:22:34.7 (GMT-06:00)","SYS",""
"622","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 05-Aug-2015  22:33:18.8 (GMT-06:00)","SYS",""
"623","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 05-Aug-2015  22:33:27.7 (GMT-06:00)","SYS",""
"624","Slot 3","Raising","Warning","Port 3 Ethernet down","Fri 07-Aug-2015  22:09:12.4 (GMT-06:00)","SYS",""
"625","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Fri 07-Aug-2015  22:09:18.8 (GMT-06:00)","SYS",""
"626","Slot 3","Raising","Warning","Port 3 Ethernet down","Fri 07-Aug-2015  22:09:40.0 (GMT-06:00)","SYS",""
"627","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Fri 07-Aug-2015  22:10:00.4 (GMT-06:00)","SYS",""
"628","Slot 3","Raising","Warning","Port 3 Ethernet down","Fri 07-Aug-2015  22:10:29.8 (GMT-06:00)","SYS",""
"629","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Fri 07-Aug-2015  22:10:31.4 (GMT-06:00)","SYS",""
"630","Slot 3","Raising","Warning","Port 2 Ethernet down","Fri 07-Aug-2015  22:23:58.1 (GMT-06:00)","SYS",""
"631","Slot 3","Clearing","Cleared","Port 2 Ethernet down","Fri 07-Aug-2015  22:24:00.6 (GMT-06:00)","SYS",""
"632","Slot 3","Raising","Warning","Port 2 Ethernet down","Fri 07-Aug-2015  22:26:27.8 (GMT-06:00)","SYS",""
"633","Slot 3","Clearing","Cleared","Port 2 Ethernet down","Fri 07-Aug-2015  22:26:34.7 (GMT-06:00)","SYS",""
"634","Slot 3","Raising","Warning","Port 1 Ethernet down","Fri 07-Aug-2015  22:34:18.4 (GMT-06:00)","SYS",""
"635","Slot 3","Clearing","Cleared","Port 1 Ethernet down","Fri 07-Aug-2015  22:34:21.3 (GMT-06:00)","SYS",""
"636","Slot 3","Raising","Warning","Port 1 Ethernet down","Fri 07-Aug-2015  22:34:55.9 (GMT-06:00)","SYS",""
"637","Slot 3","Clearing","Cleared","Port 1 Ethernet down","Fri 07-Aug-2015  22:35:01.2 (GMT-06:00)","SYS",""
"638","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Tue 11-Aug-2015  12:02:27.7 (GMT-06:00)","SYS",""
"639","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Tue 11-Aug-2015  12:02:36.7 (GMT-06:00)","SYS",""
"640","Slot 1","Raising","Major","Demodulator not locked","Wed 12-Aug-2015  18:28:47.1 (GMT-06:00)","SYS",""
"641","Slot 1","Clearing","Cleared","Demodulator not locked","Wed 12-Aug-2015  18:28:47.3 (GMT-06:00)","SYS",""
"642","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 12-Aug-2015  18:28:48.7 (GMT-06:00)","SYS",""
"643","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 12-Aug-2015  18:28:57.7 (GMT-06:00)","SYS",""
"644","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Sat 15-Aug-2015  23:09:14.6 (GMT-06:00)","SYS",""
"645","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Sat 15-Aug-2015  23:09:23.6 (GMT-06:00)","SYS",""
"646","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Mon 17-Aug-2015  18:04:22.6 (GMT-06:00)","SYS",""
"647","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Mon 17-Aug-2015  18:04:32.6 (GMT-06:00)","SYS",""
"648","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Tue 18-Aug-2015  20:27:22.6 (GMT-06:00)","SYS",""
"649","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Tue 18-Aug-2015  20:27:31.6 (GMT-06:00)","SYS",""
"650","Slot 1","Raising","Major","Demodulator not locked","Thu 20-Aug-2015  04:18:09.0 (GMT-06:00)","SYS",""
"651","Slot 1","Clearing","Cleared","Demodulator not locked","Thu 20-Aug-2015  04:18:09.3 (GMT-06:00)","SYS",""
"652","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Thu 20-Aug-2015  04:18:10.6 (GMT-06:00)","SYS",""
"653","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Thu 20-Aug-2015  04:18:19.6 (GMT-06:00)","SYS",""
"654","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Thu 20-Aug-2015  21:13:16.6 (GMT-06:00)","SYS",""
"655","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Thu 20-Aug-2015  21:13:26.6 (GMT-06:00)","SYS",""
"656","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Sat 22-Aug-2015  16:18:31.6 (GMT-06:00)","SYS",""
"657","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Sat 22-Aug-2015  16:18:40.6 (GMT-06:00)","SYS",""
"658","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Mon 24-Aug-2015  04:17:57.5 (GMT-06:00)","SYS",""
"659","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Mon 24-Aug-2015  04:18:06.5 (GMT-06:00)","SYS",""
"660","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 26-Aug-2015  15:07:00.3 (GMT-06:00)","SYS",""
"661","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 26-Aug-2015  15:07:22.3 (GMT-06:00)","SYS",""
"662","Slot 1","Raising","Warning","ESR threshold exceeded","Wed 26-Aug-2015  15:07:44.3 (GMT-06:00)","SYS",""
"663","Slot 1","Clearing","Cleared","ESR threshold exceeded","Wed 26-Aug-2015  15:08:44.3 (GMT-06:00)","SYS",""
"664","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 26-Aug-2015  21:00:37.3 (GMT-06:00)","SYS",""
"665","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 26-Aug-2015  21:00:46.3 (GMT-06:00)","SYS",""
